▲ Next.js 16.3.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.208.1:3000
✓ Ready in 812ms
✓ Running next.config.ts took 82ms

 GET / 200 in 75ms (next.js: 4ms, application-code: 70ms)
 GET / 200 in 75ms (next.js: 5ms, application-code: 70ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 76ms (next.js: 3ms, application-code: 73ms)
 GET / 200 in 59ms (next.js: 4ms, application-code: 55ms)
 GET / 200 in 94ms (next.js: 3ms, application-code: 91ms)
 GET / 200 in 61ms (next.js: 3ms, application-code: 58ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 76ms (next.js: 4ms, application-code: 72ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 63ms)
 GET / 200 in 68ms (next.js: 4ms, application-code: 65ms)
 GET / 200 in 67ms (next.js: 4ms, application-code: 63ms)
 GET / 200 in 73ms (next.js: 4ms, application-code: 70ms)
 GET / 200 in 77ms (next.js: 4ms, application-code: 73ms)
 GET / 200 in 55ms (next.js: 2ms, application-code: 53ms)
 GET / 200 in 63ms (next.js: 3ms, application-code: 60ms)
 GET / 200 in 60ms (next.js: 4ms, application-code: 56ms)
 GET / 200 in 62ms (next.js: 3ms, application-code: 58ms)
 GET /?health=off 200 in 58ms (next.js: 4ms, application-code: 54ms)
 GET /?health=off 200 in 61ms (next.js: 3ms, application-code: 57ms)
 GET / 200 in 54ms (next.js: 2ms, application-code: 52ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET / 200 in 65ms (next.js: 3ms, application-code: 62ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET / 200 in 64ms (next.js: 3ms, application-code: 61ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 54ms)
 GET / 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET / 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET / 200 in 58ms (next.js: 3ms, application-code: 55ms)
 GET / 200 in 53ms (next.js: 3ms, application-code: 51ms)
 GET / 200 in 50ms (next.js: 1.9ms, application-code: 48ms)
 GET / 200 in 68ms (next.js: 4ms, application-code: 64ms)
 GET / 200 in 70ms (next.js: 3ms, application-code: 67ms)
 GET / 200 in 50ms (next.js: 2ms, application-code: 48ms)
 GET / 200 in 50ms (next.js: 1.9ms, application-code: 48ms)
 GET / 200 in 63ms (next.js: 4ms, application-code: 59ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 62ms)
 GET / 200 in 54ms (next.js: 3ms, application-code: 50ms)
 GET / 200 in 50ms (next.js: 2ms, application-code: 48ms)
 GET / 200 in 66ms (next.js: 3ms, application-code: 64ms)
 GET / 200 in 82ms (next.js: 4ms, application-code: 78ms)
 GET / 200 in 80ms (next.js: 9ms, application-code: 71ms)
 GET / 200 in 60ms (next.js: 2ms, application-code: 58ms)
 GET / 200 in 63ms (next.js: 4ms, application-code: 59ms)
 GET / 200 in 63ms (next.js: 3ms, application-code: 60ms)
 GET / 200 in 63ms (next.js: 18ms, application-code: 45ms)
 GET / 200 in 47ms (next.js: 1.9ms, application-code: 45ms)
 GET / 200 in 63ms (next.js: 4ms, application-code: 59ms)
 GET / 200 in 74ms (next.js: 3ms, application-code: 71ms)
 GET / 200 in 61ms (next.js: 3ms, application-code: 57ms)
 GET / 200 in 57ms (next.js: 2ms, application-code: 55ms)
 GET / 200 in 65ms (next.js: 4ms, application-code: 61ms)
 GET / 200 in 86ms (next.js: 3ms, application-code: 83ms)
